Entity,Code,Year,CO2,Renewables
Algeria,DZA,2023,,0.8541283
Argentina,ARG,2023,,34.699863
Australia,AUS,2023,,36.07261
Austria,AUT,2023,,84.48328
Azerbaijan,AZE,2023,,6.8625536
Bangladesh,BGD,2023,,1.5081774
Belarus,BLR,2023,,2.7083464
Belgium,BEL,2023,,33.05825
Bolivia,BOL,2023,,28.806585
Bosnia and Herzegovina,BIH,2023,,40.71006
Brazil,BRA,2023,,88.68169
Bulgaria,BGR,2023,,25.906475
Canada,CAN,2023,,66.13482
Chile,CHL,2023,,60.818085
China,CHN,2023,,30.6804
Colombia,COL,2023,,66.48605
Costa Rica,CRI,2023,,95.74646
Croatia,HRV,2023,,68.98996
Cyprus,CYP,2023,,20.222635
Czechia,CZE,2023,,14.87267
Denmark,DNK,2023,,87.60036
Ecuador,ECU,2023,,80.83458
Egypt,EGY,2023,,11.787243
El Salvador,SLV,2023,,63.434906
Estonia,EST,2023,,44.290123
Finland,FIN,2023,,51.92886
France,FRA,2023,,26.290094
Georgia,GEO,2023,,76.07789
Germany,DEU,2023,,52.409912
Greece,GRC,2023,,50.101254
Hong Kong,HKG,2023,,0.9582091
Hungary,HUN,2023,,25.698324
Iceland,ISL,2023,,99.96667
India,IND,2023,,19.513695
Indonesia,IDN,2023,,18.594606
Iran,IRN,2023,,4.393576
Iraq,IRQ,2023,,2.7341218
Ireland,IRL,2023,,43.684376
Israel,ISR,2023,,10.4693365
Italy,ITA,2023,,43.720013
Japan,JPN,2023,,23.830055
Kazakhstan,KAZ,2023,,12.759045
Kenya,KEN,2023,,94.016396
Kosovo,OWID_KOS,2023,,11.477987
Kuwait,KWT,2023,,0.22016734
Latvia,LVA,2023,,76.64
Lithuania,LTU,2023,,76.43885
Luxembourg,LUX,2023,,92.105255
Malaysia,MYS,2023,,19.158432
Malta,MLT,2023,,21.011675
Mexico,MEX,2023,,19.595858
Moldova,MDA,2023,,9.67742
Mongolia,MNG,2023,,10.74074
Montenegro,MNE,2023,,60.243904
Morocco,MAR,2023,,21.024067
Myanmar,MMR,2023,,58.512398
Netherlands,NLD,2023,,47.83463
New Zealand,NZL,2023,,87.331535
Nigeria,NGA,2023,,20.541206
North Macedonia,MKD,2023,,32.45228
Norway,NOR,2023,,98.54158
Oman,OMN,2023,,0.6028132
Pakistan,PAK,2023,,27.333126
Paraguay,PRY,2023,,100
Peru,PER,2023,,58.86868
Philippines,PHL,2023,,21.655674
Poland,POL,2023,,27.146667
Portugal,PRT,2023,,72.8164
Qatar,QAT,2023,,0.275786
Romania,ROU,2023,,50.390903
Russia,RUS,2023,,17.566477
Saudi Arabia,SAU,2023,,1.3643216
Serbia,SRB,2023,,35.909206
Singapore,SGP,2023,,4.535147
Slovakia,SVK,2023,,22.915964
Slovenia,SVN,2023,,38.764782
South Africa,ZAF,2023,,12.953798
South Korea,KOR,2023,,8.945115
Spain,ESP,2023,,50.075996
Sri Lanka,LKA,2023,,50.388237
Sweden,SWE,2023,,69.15725
Switzerland,CHE,2023,,63.450417
Taiwan,TWN,2023,,8.6510105
Thailand,THA,2023,,15.617618
Trinidad and Tobago,TTO,2023,,0.06438073
Tunisia,TUN,2023,,3.1859248
Turkey,TUR,2023,,42.008816
Turkmenistan,TKM,2023,,0.030196952
Ukraine,UKR,2023,,19.73814
United Kingdom,GBR,2023,,46.015198
United States,USA,2023,,22.672834
Uruguay,URY,2023,,89.77273
Uzbekistan,UZB,2023,,9.379771
Venezuela,VEN,2023,,76.50121
Vietnam,VNM,2023,,42.37875
World,OWID_WRL,2023,,30.238085
