Jurisdiction,Year,Industry,Unit,Quantity
AUS,1973,Agriculture,PJ,38.7
AUS,1973,Commercial and services,PJ,80
AUS,1973,Construction,PJ,25.9
AUS,1973,Electricity generation,PJ,509.6
AUS,1973,Manufacturing,PJ,918
AUS,1973,Mining,PJ,59.4
AUS,1973,Other,PJ,62.4
AUS,1973,Residential,PJ,231.3
AUS,1973,Total,PJ,2615.2
AUS,1973,Transport,PJ,685.4
AUS,1973,Water and waste,PJ,4.5
AUS,1974,Agriculture,PJ,39.4
AUS,1974,Commercial and services,PJ,82.9
AUS,1974,Construction,PJ,29
AUS,1974,Electricity generation,PJ,540.4
AUS,1974,Manufacturing,PJ,927.6
AUS,1974,Mining,PJ,64.8
AUS,1974,Other,PJ,58.9
AUS,1974,Residential,PJ,246.3
AUS,1974,Total,PJ,2694.8
AUS,1974,Transport,PJ,701
AUS,1974,Water and waste,PJ,4.4
AUS,1975,Agriculture,PJ,39.9
AUS,1975,Commercial and services,PJ,84.8
AUS,1975,Construction,PJ,28.9
AUS,1975,Electricity generation,PJ,559.9
AUS,1975,Manufacturing,PJ,925.9
AUS,1975,Mining,PJ,67.3
AUS,1975,Other,PJ,57.9
AUS,1975,Residential,PJ,246.4
AUS,1975,Total,PJ,2730.8
AUS,1975,Transport,PJ,715
AUS,1975,Water and waste,PJ,4.8
AUS,1976,Agriculture,PJ,41.2
AUS,1976,Commercial and services,PJ,88.4
AUS,1976,Construction,PJ,35.8
AUS,1976,Electricity generation,PJ,634.3
AUS,1976,Manufacturing,PJ,943.1
AUS,1976,Mining,PJ,73.8
AUS,1976,Other,PJ,61.7
AUS,1976,Residential,PJ,260.2
AUS,1976,Total,PJ,2905.9
AUS,1976,Transport,PJ,761.9
AUS,1976,Water and waste,PJ,5.5
AUS,1977,Agriculture,PJ,43.3
AUS,1977,Commercial and services,PJ,90.2
AUS,1977,Construction,PJ,35.3
AUS,1977,Electricity generation,PJ,662.6
AUS,1977,Manufacturing,PJ,952.9
AUS,1977,Mining,PJ,73
AUS,1977,Other,PJ,62.2
AUS,1977,Residential,PJ,261
