Supply,Fuel,Year,Unit,Quantity
Exports,ADO,1973,PJ,24.2
Exports,ADO,1974,PJ,12.9
Exports,ADO,1975,PJ,14.9
Exports,ADO,1976,PJ,10.1
Exports,ADO,1977,PJ,20
Exports,ADO,1978,PJ,28.2
Exports,ADO,1979,PJ,24.5
Exports,ADO,1980,PJ,27.1
Exports,ADO,1981,PJ,25.7
Exports,ADO,1982,PJ,30.5
Exports,ADO,1983,PJ,40
Exports,ADO,1984,PJ,22.2
Exports,ADO,1985,PJ,22.3
Exports,ADO,1986,PJ,17.1
Exports,ADO,1987,PJ,26.3
Exports,ADO,1988,PJ,32.5
Exports,ADO,1989,PJ,27.1
Exports,ADO,1990,PJ,31.6
Exports,ADO,1991,PJ,29.9
Exports,ADO,1992,PJ,22.6
Exports,ADO,1993,PJ,29
Exports,ADO,1994,PJ,22.9
Exports,ADO,1995,PJ,42.8
Exports,ADO,1996,PJ,50.4
Exports,ADO,1997,PJ,48.9
Exports,ADO,1998,PJ,47.5
Exports,ADO,1999,PJ,39.3
Exports,ADO,2000,PJ,44.6
Exports,ADO,2001,PJ,36.6
Exports,ADO,2002,PJ,40.602
Exports,ADO,2003,PJ,33.673
Exports,ADO,2004,PJ,14.154
Exports,ADO,2005,PJ,16.166
Exports,ADO,2006,PJ,11.127
Exports,ADO,2007,PJ,17.822
Exports,ADO,2008,PJ,13.79
Exports,ADO,2009,PJ,7.217
Exports,ADO,2010,PJ,4.525
Exports,ADO,2011,PJ,5.004
Exports,ADO,2012,PJ,3.516
Exports,ADO,2013,PJ,2.354
Exports,ADO,2014,PJ,2.944
Exports,ADO,2015,PJ,2.004
Exports,ADO,2016,PJ,4.066
Exports,ADO,2017,PJ,3.319
Exports,ADO,2018,PJ,4.334
Exports,ADO,2019,PJ,3.167
Exports,ADO,2020,PJ,1.023
Exports,ADO,2021,PJ,0.722
Exports,ADO,2022,PJ,1.893
Exports,Automotive gasoline,1973,PJ,15.5
Exports,Automotive gasoline,1974,PJ,8.6
Exports,Automotive gasoline,1975,PJ,5.3
Exports,Automotive gasoline,1976,PJ,7.3
Exports,Automotive gasoline,1977,PJ,9.8
Exports,Automotive gasoline,1978,PJ,11.7
Exports,Automotive gasoline,1979,PJ,10.7
Exports,Automotive gasoline,1980,PJ,9.2
Exports,Automotive gasoline,1981,PJ,11.7
Exports,Automotive gasoline,1982,PJ,17.6
Exports,Automotive gasoline,1983,PJ,20.2
Exports,Automotive gasoline,1984,PJ,11.7
Exports,Automotive gasoline,1985,PJ,13.6
Exports,Automotive gasoline,1986,PJ,8.6
Exports,Automotive gasoline,1987,PJ,12.3
Exports,Automotive gasoline,1988,PJ,8.4
Exports,Automotive gasoline,1989,PJ,7.2
Exports,Automotive gasoline,1990,PJ,10.8
Exports,Automotive gasoline,1991,PJ,23.7
Exports,Automotive gasoline,1992,PJ,23.2
Exports,Automotive gasoline,1993,PJ,30.5
Exports,Automotive gasoline,1994,PJ,22.2
Exports,Automotive gasoline,1995,PJ,38.6
Exports,Automotive gasoline,1996,PJ,43.6
Exports,Automotive gasoline,1997,PJ,52
Exports,Automotive gasoline,1998,PJ,52.4
Exports,Automotive gasoline,1999,PJ,46.9
Exports,Automotive gasoline,2000,PJ,44.1
Exports,Automotive gasoline,2001,PJ,40.6
Exports,Automotive gasoline,2002,PJ,36.174
Exports,Automotive gasoline,2003,PJ,26.473
Exports,Automotive gasoline,2004,PJ,26.482
Exports,Automotive gasoline,2005,PJ,24.414
Exports,Automotive gasoline,2006,PJ,26.381
Exports,Automotive gasoline,2007,PJ,21.487
Exports,Automotive gasoline,2008,PJ,8.332
Exports,Automotive gasoline,2009,PJ,7.59
