LGA_CODE_2016,LGA_NAME_2016,Residential Capacity (MW),Rural / Primacy Production Capacity (MW),Industrial Capacity (MW),Commercial Capacity (MW),Mixed Capacity (MW),,,,,
40070,Adelaide (C),0,0,0,18614,9032,,,,,
40120,Adelaide Hills (DC),0,0,67869,4078,48,,,,,
50080,Albany (C),94131,4456,19435,18296,6763,,,,,
10050,Albury (C),33250,79,27781,6365,3884,,,,,
40220,Alexandrina (DC),103340,0,12705,306,738,,,,,
70200,Alice Springs (T),2566,2123,0,15752,2600,,,,,
20110,Alpine (S),62134,3608,686,1820,1632,,,,,
40250,Anangu Pitjantjatjara (AC),18,0,67,0,0,,,,,
20260,Ararat (RC),89962,103,1391,4452,1676,,,,,
50210,Armadale (C),73196,148523,2172,5918,1872,,,,,
10130,Armidale Regional (A),89668,0,0,3,42,,,,,
50250,Ashburton (S),60846,2391,0,3915,1066,,,,,
50280,Augusta-Margaret River (S),59958,6294,0,7751,4031,,,,,
30250,Aurukun (S),6006,16,105,356,37,,,,,
20570,Ballarat (C),78582,37014,19078,20844,5992,,,,,
10250,Ballina (A),92189,0,1314,2055,4745,,,,,
30300,Balonne (S),55218,0,0,0,1706,,,,,
10300,Balranald (A),30861,0,0,7,45,,,,,
30370,Banana (S),127553,6746,7807,6347,2906,,,,,
20660,Banyule (C),3745,23846,3781,30393,3843,,,,,
30410,Barcaldine (R),35408,0,20954,0,653,,,,,
30450,Barcoo (S),5866,0,3591,0,30,,,,,
70420,Barkly (R),1430,163,115,3932,1010,,,,,
40310,Barossa (DC),145254,0,51472,1929,1891,,,,,
40430,Barunga West (DC),29121,0,9904,1591,10,,,,,
20740,Bass Coast (S),80319,1069,54,528,733,,,,,
50350,Bassendean (T),0,0,0,1358,985,,,,,
10470,Bathurst Regional (A),150866,0,1540,9272,3568,,,,,
20830,Baw Baw (S),218863,12974,1123,7701,3147,,,,,
20910,Bayside (C),0,1894,2807,7858,4108,,,,,
50420,Bayswater (C),0,2952,1626,7713,1921,,,,,
10550,Bega Valley (A),124807,0,10049,2453,4160,,,,,
10600,Bellingen (A),65571,0,3,805,1814,,,,,
50490,Belmont (C),0,11104,10827,7121,469,,,,,
70540,Belyuen (S),201,20,0,41,15,,,,,
40520,Berri and Barmera (DC),80158,0,10786,0,2241,,,,,
10650,Berrigan (A),73191,1,587,486,430,,,,,
50560,Beverley (S),34577,3,39,888,393,,,,,
30760,Blackall-Tambo (R),25537,0,12441,0,763,,,,,
10750,Blacktown (C),58177,80,8616,72587,13854,,,,,
10800,Bland (A),102189,0,4,1,322,,,,,
10850,Blayney (A),45147,0,20,86,65,,,,,
10900,Blue Mountains (C),288466,54,1,2127,5929,,,,,
50630,Boddington (S),24962,170,0,1249,953,,,,,
10950,Bogan (A),26324,0,0,6,970,,,,,
21110,Boroondara (C),0,3887,1808,19985,6018,,,,,
11100,Botany Bay (C),43,4244,17475,3900,1331,,,,,
30900,Boulia (S),3895,0,1221,4,153,,,,,
11150,Bourke (A),29529,0,106,0,549,,,,,
50770,Boyup Brook (S),37137,1601,17,1194,264,,,,,
60210,Break O'Day (M),20041,358,1775,2416,824,,,,,
11200,Brewarrina (A),18293,0,0,6,204,,,,,
60410,Brighton (M),32823,1778,7246,2864,1326,,,,,
21180,Brimbank (C),8354,52423,809,28753,3806,,,,,
31000,Brisbane (C),64046,65900,265415,297451,54511,,,,,
11250,Broken Hill (C),1438,0,5632,195,1572,,,,,
50910,Brookton (S),27153,0,1326,724,200,,,,,
50980,Broome (S),4740,6730,4649,11843,810,,,,,
51080,Broomehill-Tambellup (S),33408,237,0,420,141,,,,,
51120,Bruce Rock (S),24151,1096,0,1587,459,,,,,
31750,Bulloo (S),4208,0,189,0,116,,,,,
21270,Buloke (S),110257,38,0,4775,1611,,,,,
51190,Bunbury (C),7368,76769,0,4860,1373,,,,,
31820,Bundaberg (R),325463,1950,14193,43612,21524,,,,,
31900,Burdekin (S),83346,0,14076,12187,2222,,,,,
31950,Burke (S),1030,0,9,51,1,,,,,
60610,Burnie (C),25375,0,3553,6263,1569,,,,,
40700,Burnside (C),23,0,5645,10081,105,,,,,
11300,Burwood (A),0,0,13592,668,612,,,,,
51260,Busselton (C),66838,18786,41,2503,1119,,,,,
11350,Byron (A),82455,0,1460,4778,3388,,,,,
11400,Cabonne (A),122139,3,331,566,1080,,,,,
32080,Cairns (R),66061,25,43019,65321,13378,,,,,
51310,Cambridge (T),0,1257,4835,2389,1129,,,,,
11450,Camden (A),156590,0,2911,6144,5112,,,,,
21370,Campaspe (S),240857,1539,27,3420,502,,,,,
11500,Campbelltown (C) (NSW),38792,0,11855,20281,5052,,,,,
40910,Campbelltown (C) (SA),38792,0,11855,20281,5052,,,,,
11520,Canada Bay (A),0,0,13959,10607,3173,,,,,
51330,Canning (C),11834,29030,11,7392,2016,,,,,
11570,Canterbury-Bankstown (A),251,0,15103,42220,10207,,,,,
51400,Capel (S),47306,28410,0,2246,663,,,,,
21450,Cardinia (S),249276,188004,3206,10244,3629,,,,,
51470,Carnamah (S),14989,469,0,600,681,,,,,
51540,Carnarvon (S),24032,1773,5,3718,687,,,,,
32250,Carpentaria (S),7064,0,71,3409,19,,,,,
11600,Carrathool (A),49321,0,6,5,101,,,,,
21610,Casey (C),146693,234157,14595,34913,5201,,,,,
32260,Cassowary Coast (R),105867,36,1858,901,4432,,,,,
41010,Ceduna (DC),15323,0,2418,0,1912,,,,,
11650,Central Coast (C) (NSW),198502,0,15472,38497,54383,,,,,
60810,Central Coast (M) (Tas.),66521,0,1341,644,2499,,,,,
11700,Central Darling (A),26802,0,0,0,226,,,,,
