LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
40070,Adelaide (C),Residential Capacity (MW),0
40120,Adelaide Hills (DC),Residential Capacity (MW),0
50080,Albany (C),Residential Capacity (MW),94131
10050,Albury (C),Residential Capacity (MW),33250
40220,Alexandrina (DC),Residential Capacity (MW),103340
70200,Alice Springs (T),Residential Capacity (MW),2566
20110,Alpine (S),Residential Capacity (MW),62134
40250,Anangu Pitjantjatjara (AC),Residential Capacity (MW),18
20260,Ararat (RC),Residential Capacity (MW),89962
50210,Armadale (C),Residential Capacity (MW),73196
10130,Armidale Regional (A),Residential Capacity (MW),89668
50250,Ashburton (S),Residential Capacity (MW),60846
50280,Augusta-Margaret River (S),Residential Capacity (MW),59958
30250,Aurukun (S),Residential Capacity (MW),6006
20570,Ballarat (C),Residential Capacity (MW),78582
10250,Ballina (A),Residential Capacity (MW),92189
30300,Balonne (S),Residential Capacity (MW),55218
10300,Balranald (A),Residential Capacity (MW),30861
30370,Banana (S),Residential Capacity (MW),127553
20660,Banyule (C),Residential Capacity (MW),3745
30410,Barcaldine (R),Residential Capacity (MW),35408
30450,Barcoo (S),Residential Capacity (MW),5866
70420,Barkly (R),Residential Capacity (MW),1430
40310,Barossa (DC),Residential Capacity (MW),145254
40430,Barunga West (DC),Residential Capacity (MW),29121
20740,Bass Coast (S),Residential Capacity (MW),80319
50350,Bassendean (T),Residential Capacity (MW),0
10470,Bathurst Regional (A),Residential Capacity (MW),150866
20830,Baw Baw (S),Residential Capacity (MW),218863
20910,Bayside (C),Residential Capacity (MW),0
50420,Bayswater (C),Residential Capacity (MW),0
10550,Bega Valley (A),Residential Capacity (MW),124807
10600,Bellingen (A),Residential Capacity (MW),65571
50490,Belmont (C),Residential Capacity (MW),0
70540,Belyuen (S),Residential Capacity (MW),201
40520,Berri and Barmera (DC),Residential Capacity (MW),80158
10650,Berrigan (A),Residential Capacity (MW),73191
50560,Beverley (S),Residential Capacity (MW),34577
30760,Blackall-Tambo (R),Residential Capacity (MW),25537
10750,Blacktown (C),Residential Capacity (MW),58177
10800,Bland (A),Residential Capacity (MW),102189
10850,Blayney (A),Residential Capacity (MW),45147
10900,Blue Mountains (C),Residential Capacity (MW),288466
50630,Boddington (S),Residential Capacity (MW),24962
10950,Bogan (A),Residential Capacity (MW),26324
21110,Boroondara (C),Residential Capacity (MW),0
11100,Botany Bay (C),Residential Capacity (MW),43
30900,Boulia (S),Residential Capacity (MW),3895
11150,Bourke (A),Residential Capacity (MW),29529
50770,Boyup Brook (S),Residential Capacity (MW),37137
60210,Break O'Day (M),Residential Capacity (MW),20041
11200,Brewarrina (A),Residential Capacity (MW),18293
60410,Brighton (M),Residential Capacity (MW),32823
21180,Brimbank (C),Residential Capacity (MW),8354
31000,Brisbane (C),Residential Capacity (MW),64046
11250,Broken Hill (C),Residential Capacity (MW),1438
50910,Brookton (S),Residential Capacity (MW),27153
50980,Broome (S),Residential Capacity (MW),4740
51080,Broomehill-Tambellup (S),Residential Capacity (MW),33408
51120,Bruce Rock (S),Residential Capacity (MW),24151
31750,Bulloo (S),Residential Capacity (MW),4208
21270,Buloke (S),Residential Capacity (MW),110257
51190,Bunbury (C),Residential Capacity (MW),7368
31820,Bundaberg (R),Residential Capacity (MW),325463
31900,Burdekin (S),Residential Capacity (MW),83346
31950,Burke (S),Residential Capacity (MW),1030
60610,Burnie (C),Residential Capacity (MW),25375
40700,Burnside (C),Residential Capacity (MW),23
11300,Burwood (A),Residential Capacity (MW),0
51260,Busselton (C),Residential Capacity (MW),66838
11350,Byron (A),Residential Capacity (MW),82455
11400,Cabonne (A),Residential Capacity (MW),122139
32080,Cairns (R),Residential Capacity (MW),66061
51310,Cambridge (T),Residential Capacity (MW),0
11450,Camden (A),Residential Capacity (MW),156590
21370,Campaspe (S),Residential Capacity (MW),240857
11500,Campbelltown (C) (NSW),Residential Capacity (MW),38792
40910,Campbelltown (C) (SA),Residential Capacity (MW),38792
11520,Canada Bay (A),Residential Capacity (MW),0
