Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Nyngan Solar Plant,53.25,NSW1,2024-10-07T06:00:00+0000,52.21,52.13,102,102.141,20,0.663,1-154,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,N,NYNGAN1,-31.55274036,147.085352
Royalla Solar Farm,3.489,NSW1,2024-10-07T06:00:00+0000,17.44,17.44,20,20,0,1,Jan-20,Royalla Solar Farm Pty Limited,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,N,ROYALLA1,-35.4901,149.143
Broken Hill Solar Plant,34.89947,NSW1,2024-10-07T06:00:00+0000,65.85,64.92,53,53.76,20,0.672,Jan-80,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,N,BROKENH1,-31.98670743,141.3915455
Moree Solar Farm,12.78,NSW1,2024-10-07T06:00:00+0000,22.82,22.4,56,57.064,60,1.019,Jan-56,Moree Asset Co Pty Ltd as the trustee for Moree Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,N,MOREESF1,-29.569,149.867
Mugga Lane Solar Park,2.363,NSW1,2024-10-07T06:00:00+0000,19.69,19.69,12,12,0,12,1,Mugga Lane Solar Park Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MLSP1,-35.39890624,149.1459933
Barcaldine Solar Farm,6,QLD1,2024-10-07T06:00:00+0000,30,30,20,20,0,10,1-Feb,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BARCSF1,-23.547418,145.319009
Gullen Range Solar Farm,5.15492,NSW1,2024-10-07T06:00:00+0000,51.55,51.55,10,10,10,2.5,1-Apr,New Gullen Range Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,GULLRSF1,-34.61491677,149.4597433
Kidston Solar Project,32.38,QLD1,2024-10-07T06:00:00+0000,67.88,64.76,47.7,50,10,2.385,Jan-20,Genex (Solar) Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,KSP1,-18.89161,144.144847
Parkes Solar Farm,34.80125,NSW1,2024-10-07T06:00:00+0000,68.91,63.28,50.5,55,1000,2.295,Jan-22,Parkes Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,PARSF1,-33.10273408,148.0749899
Hughenden Solar Farm,9.066,QLD1,2024-10-07T06:00:00+0000,50.37,43.23,18,20.97,60,1.165,Jan-18,Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,HUGSF1,-20.854844,144.186359
Clare Solar Farm,94.63399,QLD1,2024-10-07T06:00:00+0000,94.63,85.83,100,110.262,12,1.598,Jan-69,Clare Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,CLARESF1,-19.83977039,147.210542
